Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,43.0177,-78.18731700000001,I-90 E,Batavia,Genesee,NY,56.0,56.0,80.0,29.24,10.0,23.0,0.0
4,40.83079,-73.85202,Cross Bronx Expy W,Bronx,Bronx,NY,48.0,44.0,83.0,29.82,6.0,9.0,0.04
2,40.853287,-73.960625,I-95 S,Fort Lee,Bergen,NJ,78.0,78.0,62.0,29.96,10.0,0.0,0.0
3,40.805153000000004,-74.076851,Sheraton Plaza Dr,East Rutherford,Bergen,NJ,77.0,77.0,71.0,29.8,10.0,0.0,0.0
3,42.977615,-77.230499,I-90 E,Shortsville,Ontario,NY,46.0,42.0,47.0,29.1,10.0,7.0,0.0
3,40.739983,-73.845642,Long Island Expy W,Corona,Queens,NY,64.0,64.0,67.0,29.67,10.0,12.0,0.0
2,40.558448999999996,-74.157623,Barlow Ave,Staten Island,Richmond,NY,46.0,46.0,85.0,30.29,10.0,0.0,0.0
2,41.104881,-73.80371099999999,Bradhurst Ave,Hawthorne,Westchester,NY,73.0,73.0,68.0,29.83,10.0,9.0,0.0
2,41.09742,-74.04127,I-287 W,Spring Valley,Rockland,NY,56.0,56.0,100.0,29.79,0.75,3.0,0.01
2,43.159321000000006,-77.638863,Child St,Rochester,Monroe,NY,61.0,61.0,81.0,29.35,10.0,7.0,0.0
2,41.512169,-74.069778,I-84 E,Newburgh,Orange,NY,27.0,19.0,100.0,29.32,10.0,7.0,0.0
2,41.30986,-76.633698,Route 220 Hwy,Hughesville,Lycoming,PA,81.0,81.0,42.0,29.26,10.0,10.0,0.0
2,40.116901,-75.349663,Water St,Norristown,Montgomery,PA,49.0,46.0,74.0,29.9,10.0,6.0,0.0
2,40.707394,-74.24754300000001,Union Ave,Union,Union,NJ,27.0,16.7,85.0,30.33,3.0,11.5,0.04
2,40.633179,-73.90815699999999,Avenue K,Brooklyn,Kings,NY,72.0,72.0,93.0,29.97,10.0,8.0,0.0
2,40.803219,-77.62751,Old Fort Rd,Spring Mills,Centre,PA,70.0,70.0,78.0,28.56,7.0,10.0,0.0
2,39.98798,-75.00990300000001,US Highway 130,Riverton,Burlington,NJ,38.0,33.0,79.0,29.5,3.0,6.0,0.0
