Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
3,33.38563,-111.89563999999999,US-60 E,Tempe,Maricopa,AZ,103.0,103.0,11.0,28.63,10.0,6.0,0.0
2,40.71209,-111.80115,I-80 W,Salt Lake City,Salt Lake,UT,49.0,47.0,48.0,25.92,10.0,5.0,0.0
3,39.782848,-105.129112,I-70 E,Wheat Ridge,Jefferson,CO,57.0,57.0,48.0,24.45,30.0,0.0,0.0
3,39.65522,-104.85304000000001,I-225 S,Aurora,Arapahoe,CO,24.0,24.0,76.0,24.48,10.0,0.0,0.0
2,33.386340000000004,-111.80013000000001,Superstition Fwy W,Mesa,Maricopa,AZ,93.0,93.0,13.0,28.69,10.0,0.0,0.0
2,39.60638,-104.808388,S Parker Rd,Aurora,Arapahoe,CO,89.0,89.0,19.0,24.15,10.0,12.0,0.0
2,40.739201,-112.191378,I-80 W,Magna,Salt Lake,UT,36.0,31.0,89.0,25.75,10.0,6.0,0.0
2,33.495094,-111.88803100000001,E Indian School Rd,Scottsdale,Maricopa,AZ,88.0,88.0,18.0,28.57,10.0,3.0,0.0
2,39.492785999999995,-119.78458400000001,E Moana Ln,Reno,Washoe,NV,92.0,92.0,9.0,25.59,10.0,16.0,0.0
3,40.431965000000005,-111.89128899999999,I-15 N,Lehi,Utah,UT,77.0,77.0,37.0,25.59,10.0,8.0,0.0
2,40.753292,-111.910927,I-15 N,Salt Lake City,Salt Lake,UT,30.0,17.2,96.0,29.6,0.8,20.7,0.02
2,33.531052,-111.975609,N Tatum Blvd,Paradise Valley,Maricopa,AZ,71.0,71.0,29.0,28.19,10.0,0.0,0.0
2,33.386265,-111.788261,S Gilbert Rd,Mesa,Maricopa,AZ,73.0,73.0,41.0,28.7,10.0,5.0,0.0
4,39.76502,-104.82751,I-225 N,Aurora,Adams,CO,48.0,45.0,64.0,24.38,10.0,7.0,0.0
3,34.036263,-112.147507,Black Canyon Fwy S,New River,Maricopa,AZ,99.0,99.0,32.0,28.29,10.0,5.0,0.0
2,33.495152000000004,-112.016296,N 31st St,Phoenix,Maricopa,AZ,97.0,97.0,19.0,28.62,10.0,10.0,0.0
2,40.734933000000005,-111.90456999999999,I-15 N,Salt Lake City,Salt Lake,UT,74.0,74.0,45.0,25.76,10.0,12.0,0.0
2,33.473221,-112.177811,W Encanto Blvd,Phoenix,Maricopa,AZ,86.0,86.0,26.0,28.65,10.0,5.0,0.0
2,40.00869,-105.27990700000001,Pennsylvania Ave,Boulder,Boulder,CO,77.0,77.0,47.0,24.7,10.0,3.0,0.0
2,40.48618,-111.90463000000001, W 14600 S,Draper,Salt Lake,UT,44.0,44.0,65.0,25.38,10.0,0.0,0.0
2,34.939907,-111.650894,Arizona Veterans Highway,Munds Park,Coconino,AZ,80.0,80.0,20.0,25.01,10.0,7.0,0.0
3,39.725570000000005,-105.06053,W 6th Ave,Denver,Jefferson,CO,27.0,27.0,47.0,24.46,10.0,3.0,0.0
2,33.623001,-111.8825,E Blanche Dr,Scottsdale,Maricopa,AZ,87.0,87.0,41.0,28.32,10.0,3.0,0.0
2,41.154469,-112.02603899999998,S 1900 W,Roy,Weber,UT,36.0,30.0,37.0,25.73,10.0,7.0,0.0
2,38.954731,-104.578743,E US Highway 24,Peyton,El Paso,CO,83.0,83.0,20.0,23.45,10.0,8.0,0.0
2,39.74757,-110.88445,US-6 E,Helper,Carbon,UT,33.0,29.0,96.0,23.94,8.0,5.0,0.0
2,33.480591,-111.96093799999998,N 56th St,Phoenix,Maricopa,AZ,47.0,47.0,33.0,28.9,10.0,0.0,0.0
3,35.147968,-106.590065,I-25 S,Albuquerque,Bernalillo,NM,85.0,85.0,20.0,24.55,10.0,10.0,0.0
2,45.758340000000004,-111.15708000000001,I-90 E,Belgrade,Gallatin,MT,25.0,25.0,85.0,25.41,1.0,3.0,0.0
2,40.71267,-111.87127, E 2700 S,Salt Lake City,Salt Lake,UT,47.0,47.0,52.0,26.02,10.0,0.0,0.0
2,33.487041,-112.23777,N 83rd Ave,Phoenix,Maricopa,AZ,111.0,111.0,14.0,28.54,10.0,9.0,0.0
2,40.282463,-111.724396,I-15 N,Orem,Utah,UT,50.0,50.0,48.0,25.42,10.0,7.0,0.0
3,33.462685,-112.220184,I-10 W,Phoenix,Maricopa,AZ,79.0,79.0,14.0,28.79,10.0,0.0,0.0
