Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,43.417190999999995,-72.033271,I-89 S,New London,Merrimack,NH,34.0,28.0,73.0,29.96,3.0,6.9,0.0
2,41.841625,-71.419014,Louisquisset Pike S,Providence,Providence,RI,59.0,59.0,42.0,29.77,10.0,6.0,0.0
2,42.662361,-71.572113,Groton St,Pepperell,Middlesex,MA,46.0,44.0,100.0,29.61,10.0,5.0,0.0
3,41.325371000000004,-72.25071,Governor John Davis Lodge Tpke S,East Lyme,New London,CT,54.0,54.0,86.0,30.09,10.0,7.0,0.0
3,41.81078,-71.353195,US-1 Alt N,East Providence,Providence,RI,78.0,78.0,21.0,29.87,10.0,8.0,0.0
3,41.376408000000005,-72.869179,I-91 S,North Haven,New Haven,CT,51.0,51.0,96.0,29.73,7.0,10.0,0.04
2,41.800671,-71.4039,Thurbers Ave,Providence,Providence,RI,71.0,71.0,73.0,30.05,10.0,10.0,0.0
3,41.826344,-71.419151,I-95 S,Providence,Providence,RI,70.0,70.0,55.0,29.67,10.0,24.0,0.0
3,41.488499,-72.11451,Governor John Davis Lodge Tpke N,Uncasville,New London,CT,64.0,64.0,75.0,29.88,10.0,8.0,0.0
2,42.340351,-71.105713,Brookline Ave,Boston,Suffolk,MA,35.0,24.0,37.0,30.07,10.0,20.0,0.0
2,41.814743,-71.43991899999999,RI-10 S,Providence,Providence,RI,76.0,76.0,54.0,29.89,10.0,9.0,0.0
2,41.766781,-72.653862,I-84 W,East Hartford,Hartford,CT,68.0,68.0,90.0,29.88,9.0,6.0,0.0
2,42.333560999999996,-71.073425,Albany St,Roxbury,Suffolk,MA,36.0,28.0,86.0,29.7,1.0,12.0,0.04
2,44.290552000000005,-72.401706, US Route 2,Plainfield,Washington,VT,73.0,73.0,55.0,28.67,10.0,3.0,0.0
3,41.725613,-72.781044,I-84 E,Farmington,Hartford,CT,43.0,43.0,93.0,30.14,10.0,3.0,0.0
2,41.814040999999996,-71.443268,US-6 E,Providence,Providence,RI,57.0,57.0,83.0,29.94,8.0,12.0,0.0
2,42.87376,-72.222868, Monadnock Hwy,Swanzey,Cheshire,NH,60.0,60.0,20.0,29.6,9.0,5.0,0.0
3,41.606773,-72.702843,I-91 S,Cromwell,Middlesex,CT,68.0,68.0,90.0,30.05,4.0,9.0,0.08
2,41.680671999999994,-72.653412,I-91 N,Wethersfield,Hartford,CT,74.0,74.0,87.0,29.46,9.0,7.0,0.0
2,42.320992,-71.116592,Perkins St,Jamaica Plain,Suffolk,MA,51.0,51.0,46.0,30.31,10.0,12.0,0.0
2,42.576809000000004,-70.89109,Conant St,Beverly,Essex,MA,69.0,69.0,81.0,29.85,10.0,10.0,0.0
2,41.674644,-72.84989200000001,CT-72 W,Plainville,Hartford,CT,77.0,77.0,60.0,29.88,10.0,5.0,0.0
2,41.81928,-71.38756,Washington Bridge,Providence,Providence,RI,24.0,13.0,42.0,29.72,9.0,12.0,0.0
2,41.551328000000005,-73.039601,I-84 W,Waterbury,New Haven,CT,79.0,79.0,44.0,29.2,10.0,8.0,0.0
