Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,34.18959,-118.939102,US-101 S,Newbury Park,Ventura,CA,64.0,64.0,67.0,29.88,8.0,0.0,0.0
2,34.03249,-118.35865, W Adams Blvd,Los Angeles,Los Angeles,CA,63.0,63.0,78.0,29.68,10.0,10.0,0.0
3,32.708679,-117.098244,I-805 S,San Diego,San Diego,CA,66.0,66.0,54.0,30.05,10.0,10.0,0.0
2,33.94976,-118.09183,San Gabriel River Fwy N,Santa Fe Springs,Los Angeles,CA,77.0,77.0,37.0,29.82,10.0,0.0,0.0
2,33.744545,-118.004756,Bolsa Ave,Westminster,Orange,CA,50.0,50.0,69.0,29.78,10.0,3.0,0.0
2,38.069722,-122.226905,Carquinez Brg E,Vallejo,Solano,CA,68.0,68.0,81.0,29.91,10.0,13.0,0.0
3,34.065456,-117.500671,I-10 E,Fontana,San Bernardino,CA,59.0,59.0,90.0,29.04,10.0,7.0,0.0
2,38.563488,-121.638741,I-80 W,Davis,Yolo,CA,72.0,72.0,53.0,29.92,10.0,7.0,0.0
3,33.813572,-118.167542,Cherry Ave,Long Beach,Los Angeles,CA,75.0,75.0,57.0,29.79,10.0,8.0,0.0
3,47.672363,-117.21100600000001,I-90 W,Spokane,Spokane,WA,56.0,56.0,77.0,27.83,10.0,7.0,0.0
2,34.347801000000004,-117.473679,Barstow Fwy S,Phelan,San Bernardino,CA,78.0,78.0,32.0,26.85,10.0,3.0,0.0
2,37.896357,-121.696306, Marsh Creek Rd,Brentwood,Contra Costa,CA,76.0,76.0,46.0,29.45,10.0,0.0,0.0
2,40.314622,-121.065076,State Highway 36,Chester,Plumas,CA,55.0,55.0,54.0,29.76,10.0,0.0,0.0
2,47.056019,-123.00972,State Highway 8,Olympia,Thurston,WA,51.0,51.0,80.0,29.99,10.0,6.0,0.0
2,34.33477,-118.509285,Golden State Fwy N,Newhall,Los Angeles,CA,62.0,62.0,84.0,29.05,6.0,6.0,0.0
2,38.985489,-121.109627,Grass Valley Hwy,Auburn,Placer,CA,57.0,57.0,59.0,28.15,10.0,5.0,0.0
2,45.188078000000004,-121.678145,Warm Springs Hwy,Maupin,Wasco,OR,80.0,80.0,42.0,29.93,10.0,23.0,0.0
3,45.527409000000006,-122.60509499999999,I-84 E,Portland,Multnomah,OR,46.0,46.0,89.0,30.15,2.0,0.0,0.0
2,43.2586,-124.22365, Highway 42,Coos Bay,Coos,OR,41.0,37.0,100.0,30.28,0.75,6.0,0.0
2,38.165073,-122.577904,Redwood Hwy S,Novato,Marin,CA,45.0,45.0,100.0,29.84,10.0,0.0,0.0
2,37.996761,-121.789482,CA-4 E,Antioch,Contra Costa,CA,55.0,55.0,86.0,30.17,2.0,3.0,0.0
2,37.363445,-121.89721999999999,Bayshore Fwy S,San Jose,Santa Clara,CA,72.0,72.0,48.0,29.85,10.0,12.0,0.0
3,47.163090000000004,-122.47943000000001,WA-512 W,Lakewood,Pierce,WA,50.0,50.0,100.0,29.45,10.0,0.0,0.0
2,33.931020000000004,-118.30032,S Normandie Ave,Los Angeles,Los Angeles,CA,77.0,77.0,62.0,29.91,10.0,7.0,0.0
2,37.752410999999995,-121.773758,Morgan Territory Rd,Livermore,Alameda,CA,72.0,72.0,51.0,29.56,10.0,8.0,0.0
2,33.68927,-117.91931000000001,I-405 N,Costa Mesa,Orange,CA,61.0,61.0,87.0,29.89,3.0,5.0,0.14
2,33.687527,-117.889656,I-405 N,Costa Mesa,Orange,CA,65.0,65.0,78.0,29.95,3.0,0.0,0.0
2,47.618549,-122.33850100000001,Denny Way,Seattle,King,WA,59.0,59.0,53.0,29.86,10.0,16.0,0.0
3,47.068290999999995,-122.72348000000001,I-5 S,Olympia,Thurston,WA,38.0,38.0,99.0,30.04,10.0,0.0,0.0
3,33.820667,-117.517532,Corona Fwy N,Corona,Riverside,CA,55.0,55.0,86.0,29.32,10.0,3.0,0.0
2,37.763529999999996,-121.41873999999999,I-205 E,Tracy,San Joaquin,CA,61.0,61.0,70.0,30.12,10.0,3.0,0.0
2,37.317966,-121.98056799999999,I-280 S,San Jose,Santa Clara,CA,58.0,58.0,67.0,30.2,10.0,14.0,0.0
2,37.383691,-121.970146,Bayshore Fwy S,Santa Clara,Santa Clara,CA,71.0,71.0,66.0,29.85,10.0,9.0,0.0
2,44.414173999999996,-121.000266, Madras Hwy,Culver,Jefferson,OR,75.0,75.0,32.0,26.91,10.0,0.0,0.0
2,34.036971,-118.43853999999999,I-405 N,Los Angeles,Los Angeles,CA,52.0,52.0,86.0,29.96,7.0,3.0,0.0
2,37.390487,-121.99401200000001,Bayshore Fwy S,Sunnyvale,Santa Clara,CA,67.0,67.0,63.0,29.92,10.0,15.0,0.0
2,39.093629,-121.08561599999999, State Highway 49,Grass Valley,Nevada,CA,48.0,48.0,71.0,26.91,10.0,0.0,0.0
2,44.00912,-123.76156, Highway 126,Walton,Lane,OR,38.0,38.0,86.0,29.88,10.0,3.0,0.0
2,46.936852,-122.40303,State Route 702 E,Roy,Pierce,WA,44.0,41.0,100.0,29.95,10.0,5.0,0.0
2,39.166776,-120.14620900000001, River Rd,Tahoe City,Placer,CA,79.0,79.0,28.0,24.24,10.0,12.0,0.0
2,34.221381,-118.473302,Roscoe Blvd,North Hills,Los Angeles,CA,48.0,48.0,41.0,29.37,10.0,0.0,0.0
2,34.147090999999996,-118.371071,Hollywood Fwy S,North Hollywood,Los Angeles,CA,68.0,68.0,65.0,29.1,5.0,5.0,0.0
2,34.183611,-118.89138899999999,Lynn Rd,Thousand Oaks,Ventura,CA,60.0,60.0,21.0,29.98,10.0,6.0,0.0
3,38.483589,-121.42323300000001,Stockton Blvd,Sacramento,Sacramento,CA,81.0,81.0,18.0,29.89,10.0,0.0,0.0
2,44.1002,-122.69361, McKenzie Hwy,Springfield,Lane,OR,41.0,35.0,89.0,29.84,10.0,9.0,0.0
2,44.60951,-121.95458,N Santiam Hwy,Idanha,Linn,OR,59.0,59.0,75.0,30.07,10.0,13.0,0.0
2,33.768359999999994,-117.920235,Harbor Blvd,Garden Grove,Orange,CA,65.0,65.0,65.0,29.92,10.0,9.0,0.0
2,38.466827,-122.727671,Redwood Hwy N,Santa Rosa,Sonoma,CA,78.0,78.0,39.0,29.84,10.0,5.0,0.0
3,34.074653999999995,-117.295639,I-215 S,San Bernardino,San Bernardino,CA,91.0,91.0,29.0,28.73,7.0,9.0,0.0
2,35.146667,-118.995833,CA-99 N,Bakersfield,Kern,CA,84.0,84.0,29.0,29.46,10.0,6.0,0.0
2,47.162788,-122.478058,WA-512 W,Lakewood,Pierce,WA,57.0,57.0,73.0,29.74,10.0,0.0,0.0
4,39.0298,-122.33922,CA-20,Williams,Colusa,CA,77.0,77.0,12.0,29.85,10.0,21.0,0.0
2,45.527363,-122.82950600000001,Sunset Hwy E,Beaverton,Washington,OR,91.0,91.0,30.0,29.74,10.0,7.0,0.0
2,37.988329,-121.24446999999999, Wilcox Rd,Stockton,San Joaquin,CA,49.0,49.0,69.0,29.99,10.0,0.0,0.0
2,33.953697,-117.38351399999999,CA-91 E,Riverside,Riverside,CA,71.0,71.0,44.0,29.19,10.0,0.0,0.0
2,33.856821999999994,-118.28481000000001,I-405 S,Gardena,Los Angeles,CA,73.0,73.0,59.0,29.82,10.0,5.0,0.0
2,33.692402,-117.10685,Domenigoni Pkwy,Winchester,Riverside,CA,73.0,73.0,18.0,28.6,10.0,6.0,0.0
2,34.030772999999996,-118.21791100000002,US-101 S,Los Angeles,Los Angeles,CA,66.0,66.0,45.0,29.81,10.0,3.0,0.0
2,45.49795,-122.79082,Beaverton Tigard Fwy S,Beaverton,Washington,OR,71.0,71.0,57.0,29.76,10.0,0.0,0.0
2,33.904665,-117.27811499999999,Escondido Fwy S,March Air Reserve Base,Riverside,CA,92.0,92.0,27.0,28.31,10.0,0.0,0.0
