Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,33.08448,-80.65303,I-95 S,Walterboro,Colleton,SC,63.0,63.0,82.0,29.9,10.0,16.0,0.0
2,34.474483,-82.65325899999999,Bypass 28 S,Anderson,Anderson,SC,81.0,81.0,56.0,29.11,10.0,8.0,0.0
3,34.027473,-81.10296600000001,I-26 E,Columbia,Richland,SC,76.0,76.0,43.0,29.82,10.0,9.0,0.0
2,34.894081,-82.092857,Doonbeg Dr,Duncan,Spartanburg,SC,54.0,54.0,25.0,28.77,10.0,6.0,0.0
2,26.608925,-81.65451800000001,Beth Stacey Blvd,Lehigh Acres,Lee,FL,79.0,79.0,90.0,30.09,10.0,0.0,0.0
2,35.262676,-80.77226999999999,Old Concord Rd,Charlotte,Mecklenburg,NC,84.0,84.0,45.0,29.15,10.0,0.0,0.0
3,35.128616,-81.55159,Blacksburg Hwy,Blacksburg,Cherokee,SC,71.0,71.0,99.0,29.21,4.0,0.0,0.0
2,33.091511,-79.812302,Cainhoy Rd,Huger,Berkeley,SC,84.0,84.0,51.0,29.89,9.0,10.0,0.0
2,36.947528999999996,-76.536751,Carrollton Blvd,Carrollton,Isle of Wight,VA,87.0,87.0,65.0,29.79,10.0,5.0,0.0
3,32.897166999999996,-80.01960799999999,I-26 W,Charleston,Charleston,SC,85.0,85.0,63.0,29.87,10.0,22.0,0.0
2,38.02916,-77.49894,I-95 N,Woodford,Caroline,VA,47.0,47.0,90.0,30.12,10.0,0.0,0.0
2,39.767632,-75.672363,Graves Rd,Hockessin,New Castle,DE,26.0,26.0,63.0,30.62,10.0,3.0,0.0
4,34.344276,-84.023812, Highway 53 E,Dawsonville,Dawson,GA,91.0,91.0,43.0,28.98,10.0,5.0,0.0
3,33.652176000000004,-84.367058,GA-407 W,Atlanta,Fulton,GA,79.0,79.0,66.0,28.92,10.0,7.0,0.0
2,34.938156,-82.434441,Poinsett Hwy,Greenville,Greenville,SC,93.0,93.0,47.0,28.97,10.0,6.0,0.0
2,25.972292000000003,-80.237938,Florida's Tpke N,Hollywood,Broward,FL,71.0,71.0,78.0,30.17,10.0,15.0,0.0
2,33.47044,-82.018089,Winter St,Augusta,Richmond,GA,91.0,91.0,39.0,29.46,10.0,8.0,0.0
2,39.680569,-75.62925,Churchmans Rd,New Castle,New Castle,DE,75.0,75.0,82.0,30.0,10.0,0.0,0.0
4,38.455020000000005,-81.8945,I-64 W,Scott Depot,Putnam,WV,82.0,82.0,67.0,28.76,10.0,8.0,0.0
2,35.739342,-78.66757199999999,Tryon Rd,Raleigh,Wake,NC,78.0,78.0,46.0,29.62,10.0,8.0,0.0
2,27.867359000000004,-82.326698,US Highway 301 S,Riverview,Hillsborough,FL,72.0,72.0,100.0,30.15,1.0,0.0,0.0
2,35.785740000000004,-78.719139,Western Blvd,Raleigh,Wake,NC,36.0,32.0,93.0,29.74,5.0,5.0,0.07
2,35.193329,-80.919624,W Tyvola Rd,Charlotte,Mecklenburg,NC,79.0,79.0,45.0,29.14,10.0,10.0,0.0
3,35.092194,-80.933662,Carowinds Blvd,Fort Mill,York,SC,70.0,70.0,81.0,29.31,10.0,6.0,0.0
2,34.816307,-82.441917,White Horse Rd,Greenville,Greenville,SC,91.0,91.0,50.0,28.9,10.0,9.0,0.0
