Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,44.93935,-93.34865,Beltline Hwy S,Minneapolis,Hennepin,MN,56.0,56.0,34.0,29.11,10.0,21.0,0.0
2,44.765812,-93.578682,Chestnut Blvd,Shakopee,Scott,MN,53.0,53.0,64.0,28.97,10.0,5.0,0.0
2,44.889668,-93.292686,Crosstown Hwy E,Minneapolis,Hennepin,MN,71.0,71.0,75.0,28.99,10.0,3.0,0.0
4,42.57291,-93.548164,I-35 N,Williams,Wright,IA,32.0,18.0,92.0,28.23,2.0,28.0,0.0
2,41.259640000000005,-96.020607,Dodge St,Omaha,Douglas,NE,53.0,53.0,55.0,29.06,10.0,0.0,0.0
2,38.93656,-94.45114000000001,I-470 W,Kansas City,Jackson,MO,80.0,80.0,74.0,29.0,10.0,13.0,0.0
2,41.358269,-93.558289,E 2nd Ave,Indianola,Warren,IA,86.0,86.0,37.0,28.85,10.0,10.0,0.0
2,41.306678999999995,-96.067009,Fort St,Omaha,Douglas,NE,86.0,86.0,42.0,28.71,10.0,9.0,0.0
2,44.97696,-93.08968,Maryland Ave E,Saint Paul,Ramsey,MN,36.0,27.0,79.0,29.18,10.0,14.0,0.0
2,41.313099,-95.999832,Crown Point Ave,Omaha,Douglas,NE,23.0,9.6,78.0,30.04,8.0,16.1,0.0
3,44.847961,-93.153191,Lone Oak Rd,Saint Paul,Dakota,MN,33.0,25.0,75.0,28.76,10.0,9.0,0.0
2,39.03951,-94.34597,I-70 W,Independence,Jackson,MO,86.0,86.0,61.0,28.98,10.0,15.0,0.0
2,45.022217,-93.19001800000001,I-35W S,Saint Paul,Ramsey,MN,66.0,66.0,68.0,29.36,10.0,14.0,0.0
2,44.543071999999995,-93.862083,W 280th St,Henderson,Scott,MN,36.0,28.0,81.0,28.83,10.0,10.0,0.0
2,44.0018,-92.48365,US-52 S,Rochester,Olmsted,MN,25.0,12.0,99.0,28.34,0.25,15.0,0.01
2,44.837014,-93.39859,Anderson Lakes Pkwy,Minneapolis,Hennepin,MN,54.0,54.0,90.0,28.54,1.0,17.0,0.03
3,44.914120000000004,-93.449341,I-494 N,Hopkins,Hennepin,MN,23.0,13.1,78.0,29.82,3.0,9.2,0.0
4,38.778324,-90.35990100000001,I-270 W,Hazelwood,St. Louis County,MO,49.0,47.0,43.0,29.17,10.0,5.0,0.0
2,37.292831,-93.409554,S Hunt Rd,Willard,Greene,MO,67.0,67.0,76.0,28.54,10.0,10.0,0.0
2,45.21634,-93.0324,I-35W S,Forest Lake,Anoka,MN,18.0,9.0,79.0,29.04,10.0,6.0,0.0
2,45.009679999999996,-93.0719,MN-36 W,Saint Paul,Ramsey,MN,44.0,40.0,82.0,29.39,10.0,7.0,0.0
2,45.32452,-94.66671,MN-4,Paynesville,Meeker,MN,13.0,6.0,86.0,28.79,10.0,5.0,0.0
2,44.99303,-93.45861,I-494 N,Minneapolis,Hennepin,MN,69.0,69.0,75.0,29.09,10.0,9.0,0.0
2,44.86217,-93.44301,Prairie Center Dr,Eden Prairie,Hennepin,MN,52.0,52.0,89.0,28.77,2.0,14.0,0.0
3,41.969074,-91.671761,8th Ave SW,Cedar Rapids,Linn,IA,25.0,18.0,100.0,29.25,0.25,6.0,0.0
2,38.975390999999995,-94.546051,Bruce R. Watkins Dr,Kansas City,Jackson,MO,52.0,52.0,89.0,29.25,6.0,6.0,0.01
2,38.485256,-90.304405,W Pottle Ave,Saint Louis,St. Louis County,MO,84.0,84.0,49.0,29.58,10.0,9.0,0.0
2,43.5709,-93.35887,I-35 N,Glenville,Freeborn,MN,21.0,8.0,100.0,28.18,1.0,15.0,0.0
3,38.50721,-90.33802,Rusty Rd,Saint Louis,St. Louis County,MO,82.0,82.0,38.0,29.4,10.0,14.0,0.0
3,38.541809,-90.473511,I-44 E,Fenton,St. Louis County,MO,72.0,72.0,66.0,29.32,10.0,0.0,0.0
3,44.86206,-93.22789,MN-5 E,Minneapolis,Hennepin,MN,-2.9,-23.8,82.0,30.14,10.0,16.1,0.0
3,38.298823999999996,-90.406059,I-55 S,Pevely,Jefferson,MO,51.0,51.0,83.0,29.7,6.0,5.0,0.06
3,41.877871999999996,-93.571182,I-35 N,Cambridge,Story,IA,69.0,69.0,96.0,28.93,6.0,0.0,0.0
2,44.779121,-93.34446,Highway 13 W,Savage,Scott,MN,68.0,68.0,35.0,28.79,10.0,24.0,0.0
2,44.88965,-93.38693,Gleason Rd,Minneapolis,Hennepin,MN,33.0,25.0,82.0,28.98,3.0,10.0,0.05
3,38.718212,-90.332123,I-170 N,Saint Louis,St. Louis County,MO,37.0,31.0,57.0,29.73,10.0,8.0,0.0
3,44.967758,-93.269676,MN-65,Minneapolis,Hennepin,MN,73.0,73.0,55.0,28.85,10.0,7.0,0.0
2,44.72826,-93.397873,Green Oaks Trl SE,Prior Lake,Scott,MN,56.0,56.0,90.0,29.11,5.0,15.0,0.0
2,41.26194,-95.902046,N 35th St,Council Bluffs,Pottawattamie,IA,96.0,96.0,52.0,28.66,10.0,23.0,0.0
3,44.962146999999995,-93.20238499999999,MN-280 S,Saint Paul,Ramsey,MN,71.0,71.0,70.0,29.3,10.0,0.0,0.0
2,45.196194,-92.982384,170th St N,Hugo,Washington,MN,66.0,66.0,52.0,28.98,10.0,12.0,0.0
2,38.743557,-90.529236,MO-364 E,Saint Charles,St. Charles,MO,69.0,69.0,90.0,29.54,10.0,29.0,0.0
3,39.320419,-94.698296,I-435 E,Kansas City,Platte,MO,42.0,42.0,51.0,29.13,10.0,3.0,0.0
3,44.859161,-93.36075600000001,I-494 E,Minneapolis,Hennepin,MN,86.0,86.0,59.0,29.02,10.0,14.0,0.0
2,39.014782000000004,-94.693184,Shawnee Mission Pkwy,Shawnee,Johnson,KS,83.0,83.0,69.0,29.28,10.0,10.0,0.0
3,41.22826,-95.95587900000001,US-75 S,Omaha,Douglas,NE,46.0,40.0,79.0,29.1,10.0,13.0,0.0
2,44.8586,-93.14503, Highway 55,Saint Paul,Dakota,MN,29.0,22.0,82.0,29.2,5.0,7.0,0.01
2,44.99168,-93.205048,MN-280 N,Saint Paul,Ramsey,MN,73.0,73.0,81.0,29.14,5.0,6.0,0.0
2,47.496990000000004,-92.40783, State Highway 135,Gilbert,St. Louis,MN,21.0,21.0,86.0,28.35,10.0,3.0,0.0
3,45.010754,-93.089798,MN-36 W,Saint Paul,Ramsey,MN,78.0,78.0,76.0,28.98,10.0,9.0,0.0
3,45.063412,-93.162308,US-10 E,Saint Paul,Ramsey,MN,81.0,81.0,39.0,29.24,10.0,5.0,0.0
2,44.956108,-93.270149,I-35W S,Minneapolis,Hennepin,MN,38.0,33.0,86.0,29.13,10.0,7.0,0.0
2,44.63288,-93.29841,I-35 S,Lakeville,Dakota,MN,18.0,9.0,86.0,28.96,10.0,6.0,0.0
2,41.292179,-96.13887,N 144th St,Omaha,Douglas,NE,67.0,67.0,50.0,28.98,10.0,8.0,0.0
2,44.96468,-93.230728,I-94 W,Minneapolis,Hennepin,MN,38.0,28.0,55.0,29.11,10.0,18.0,0.0
3,41.262264,-95.953804,US-75 S,Omaha,Douglas,NE,82.0,82.0,44.0,28.93,10.0,14.0,0.0
2,44.86128,-93.17595,Highway 13,Saint Paul,Dakota,MN,16.0,6.0,81.0,29.13,1.0,7.0,0.0
2,44.91966,-93.27449,E 46th St,Minneapolis,Hennepin,MN,6.0,6.0,50.0,29.54,10.0,0.0,0.0
2,43.95503,-92.15057,I-90 W,Dover,Olmsted,MN,38.0,30.0,93.0,28.63,10.0,12.0,0.0
3,38.720165,-90.308952,I-70 E,Saint Louis,St. Louis County,MO,92.0,92.0,58.0,29.35,10.0,8.0,0.0
4,37.94704,-91.79055,I-44 W,Rolla,Phelps,MO,44.1,39.0,93.0,29.8,4.0,9.2,0.02
3,44.937519,-93.12178,I-35E S,Saint Paul,Ramsey,MN,76.0,76.0,82.0,28.96,10.0,8.0,0.0
2,44.861912,-93.126411,I-494 E,Saint Paul,Dakota,MN,61.0,61.0,39.0,29.18,10.0,3.0,0.0
3,44.975372,-93.289436,US-12 W,Minneapolis,Hennepin,MN,36.0,28.0,93.0,29.8,5.0,11.5,0.0
2,44.900771999999996,-93.559952,Highway 7,Excelsior,Hennepin,MN,85.0,85.0,61.0,28.92,10.0,14.0,0.0
4,41.663387,-91.249672,Garfield Ave,West Liberty,Cedar,IA,64.0,64.0,88.0,29.47,10.0,7.0,0.0
2,43.671803000000004,-93.323448,I-35 N,Albert Lea,Freeborn,MN,30.0,20.0,100.0,28.04,10.0,13.0,0.0
2,44.86186,-93.28851999999999,MN-5 E,Minneapolis,Hennepin,MN,7.0,-2.0,53.0,29.51,10.0,5.0,0.0
2,45.05087,-93.32223,Brooklyn Blvd,Minneapolis,Hennepin,MN,9.0,-6.0,51.0,29.28,10.0,12.0,0.0
2,41.299568,-95.972137,Ames Ave,Omaha,Douglas,NE,82.0,82.0,65.0,28.87,10.0,12.0,0.0
3,46.802345,-92.070488,I-35 S,Duluth,St. Louis,MN,10.0,-3.7,73.0,29.84,0.8,10.4,0.0
3,44.956074,-93.191826,I-94 W,Saint Paul,Ramsey,MN,46.0,41.0,71.0,29.15,10.0,12.0,0.0
2,41.2125,-96.08798,L St,Omaha,Douglas,NE,32.0,32.0,83.0,29.14,7.0,0.0,0.0
