Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
3,41.82399,-87.630676,Dan Ryan Expy S,Chicago,Cook,IL,45.0,39.0,86.0,29.35,9.0,13.0,0.0
2,39.146084,-84.53775,I-75 N,Cincinnati,Hamilton,OH,63.0,63.0,87.0,29.59,10.0,0.0,0.0
2,42.91254,-85.58341999999999, Broadmoor Ave SE,Grand Rapids,Kent,MI,55.0,55.0,21.0,29.21,10.0,15.0,0.0
2,43.000833,-85.59014300000001, E Beltline Ave NE,Grand Rapids,Kent,MI,38.0,31.0,83.0,28.98,10.0,9.0,0.0
2,41.816631,-87.925652,N York Rd,Hinsdale,DuPage,IL,41.0,35.0,35.0,29.82,10.0,9.0,0.0
3,41.11871,-87.835587,I-57 N,Kankakee,Kankakee,IL,37.0,31.0,100.0,29.12,2.0,9.0,0.0
3,41.060928000000004,-81.505493,I-77 S,Akron,Summit,OH,34.0,28.0,67.0,28.84,10.0,7.0,0.0
3,40.672176,-89.66909799999999,I-474 E,Peoria,Peoria,IL,80.0,80.0,45.0,29.23,10.0,7.0,0.0
3,42.33422,-87.87165, Casimir Pulaski Dr,North Chicago,Lake,IL,55.0,55.0,34.0,29.26,10.0,10.0,0.0
2,39.136028,-84.63073,Falconbridge Dr,Cincinnati,Hamilton,OH,40.0,37.0,70.0,29.02,10.0,5.0,0.0
3,41.923569,-83.361198,Detroit Toledo Expy S,Monroe,Monroe,MI,81.0,81.0,91.0,29.16,10.0,8.0,0.0
3,41.57006,-87.41497,I-80 W,Gary,Lake,IN,79.0,79.0,44.0,29.15,10.0,10.0,0.0
3,41.365231,-89.126175,I-80 E,Peru,LaSalle,IL,43.0,38.0,66.0,29.49,10.0,8.0,0.0
2,41.588001,-81.50183100000001,Richmond Rd,Euclid,Cuyahoga,OH,46.0,41.0,93.0,28.93,10.0,10.0,0.0
2,42.290989,-87.905057,Atkinson Rd,Libertyville,Lake,IL,41.0,41.0,79.0,29.45,10.0,3.0,0.0
2,42.387002,-83.44484200000001,M-14 W,Plymouth,Wayne,MI,33.0,22.0,75.0,28.98,7.0,20.0,0.0
3,39.7033,-86.107162,I-465 E,Indianapolis,Marion,IN,63.0,63.0,65.0,29.21,10.0,7.0,0.0
3,41.396591,-88.191704,I-55 N,Channahon,Will,IL,28.0,18.0,93.0,29.73,0.5,12.0,0.0
3,43.03218,-87.97501,I-94 W,Milwaukee,Milwaukee,WI,52.0,52.0,71.0,29.42,10.0,0.0,0.0
3,39.807388,-86.166382,I-65 S,Indianapolis,Marion,IN,45.0,45.0,82.0,29.13,8.0,3.0,0.0
3,41.93139,-87.98867, N Addison Rd,Addison,DuPage,IL,85.0,85.0,46.0,29.12,10.0,8.0,0.0
2,39.911732,-82.989822,Benfield Ave,Columbus,Franklin,OH,64.0,64.0,51.0,29.5,10.0,6.0,0.0
2,39.125040000000006,-84.55332, Westwood Ave,Cincinnati,Hamilton,OH,70.0,70.0,97.0,29.33,9.0,0.0,0.01
3,42.350113,-83.099602,Edward J Jeffries Fwy,Detroit,Wayne,MI,45.0,40.0,48.0,29.24,10.0,9.0,0.0
2,43.105511,-83.637169,N Center Rd,Mount Morris,Genesee,MI,30.0,30.0,82.0,29.34,9.0,3.0,0.0
2,42.384745,-87.959859, Grand Ave,Gurnee,Lake,IL,47.0,39.0,37.0,29.32,10.0,24.0,0.0
3,42.888560999999996,-85.491653,I-96 E,Grand Rapids,Kent,MI,83.0,83.0,49.0,28.94,10.0,12.0,0.0
2,41.832679999999996,-88.034363,Butterfield Rd,Downers Grove,DuPage,IL,80.0,80.0,81.0,29.27,10.0,8.0,0.0
2,39.788284000000004,-84.18177800000001,Webster St,Dayton,Montgomery,OH,57.0,57.0,86.0,29.19,10.0,0.0,0.0
3,39.92419,-86.19487,I-465 E,Indianapolis,Marion,IN,66.0,66.0,78.0,29.17,10.0,3.0,0.0
2,39.625657000000004,-84.201203, Lyons Rd,Dayton,Montgomery,OH,33.0,25.0,70.0,28.98,10.0,10.0,0.0
2,42.515533000000005,-83.285721,W 13 Mile Rd,Franklin,Oakland,MI,25.0,18.0,94.0,28.91,10.0,7.0,0.0
3,38.757401,-90.044365,I-270 W,Granite City,Madison,IL,69.0,69.0,96.0,29.41,10.0,3.0,0.0
2,42.367948,-83.059219,Edsel Ford Fwy W,Detroit,Wayne,MI,63.0,63.0,54.0,29.41,10.0,5.0,0.0
2,39.816295000000004,-84.18899300000001,I-75 N,Dayton,Montgomery,OH,27.0,18.0,81.0,29.14,8.0,9.0,0.0
2,39.85606,-83.89089200000001,S Tecumseh Rd,Springfield,Clark,OH,65.0,65.0,52.0,28.89,10.0,8.0,0.0
2,42.282115999999995,-85.371987,I-94 W,Climax,Kalamazoo,MI,51.0,51.0,77.0,29.16,10.0,9.0,0.0
2,39.98275,-82.81402,Reynoldsburg New Albany Rd,Columbus,Franklin,OH,72.0,72.0,41.0,28.81,10.0,8.0,0.0
2,39.693661,-84.205683,W Stroop Rd,Dayton,Montgomery,OH,43.0,37.0,93.0,29.2,7.0,12.0,0.0
2,41.793091,-87.868767,S La Grange Rd,Countryside,Cook,IL,41.0,34.0,76.0,29.12,10.0,12.0,0.0
2,42.367088,-83.08181,W Grand Blvd,Detroit,Wayne,MI,32.0,25.0,73.0,29.37,10.0,8.0,0.0
