Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,36.1516,-86.852112,Charlotte Ave,Nashville,Davidson,TN,73.0,73.0,88.0,29.35,3.0,6.0,1.08
2,33.444297999999996,-86.733541, Highway 280,Birmingham,Jefferson,AL,54.0,54.0,33.0,29.73,10.0,8.0,0.0
2,36.221119,-86.726598, Gallatin Pike,Nashville,Davidson,TN,68.0,68.0,78.0,29.43,10.0,7.0,0.0
2,33.406714,-86.764128,I-459 N,Birmingham,Jefferson,AL,49.0,47.0,66.0,29.49,10.0,6.0,0.0
2,36.17215,-86.7686,I-24 W,Nashville,Davidson,TN,54.0,54.0,83.0,29.08,10.0,15.0,0.0
2,38.195477000000004,-85.707596,Poplar Level Rd,Louisville,Jefferson,KY,37.0,33.0,33.0,30.01,10.0,5.0,0.0
2,36.330006,-84.227041,I-75 N,La Follette,Campbell,TN,66.0,66.0,96.0,29.07,10.0,0.0,0.0
3,36.30052,-86.71106,I-65 N,Goodlettsville,Davidson,TN,88.0,88.0,48.0,29.3,10.0,8.0,0.0
3,36.191769,-86.784889,I-65 S,Nashville,Davidson,TN,52.0,52.0,89.0,29.39,10.0,7.0,0.01
2,38.212270000000004,-85.75275,Dr Martin Luther King Jr Expy N,Louisville,Jefferson,KY,54.0,54.0,94.0,29.23,4.0,8.0,0.13
2,31.78385,-85.95877800000001,Highway 231 S,Troy,Pike,AL,78.0,78.0,58.0,29.74,10.0,5.0,0.0
2,38.252522,-85.749153,E Jefferson St,Louisville Central,Jefferson,KY,36.0,31.0,89.0,28.95,10.0,6.0,0.0
2,33.200539,-87.590919,Culver Rd,Tuscaloosa,Tuscaloosa,AL,61.0,61.0,94.0,29.86,2.0,9.0,0.32
3,34.736073,-86.59315500000001,AL-20 E,Huntsville,Madison,AL,80.0,80.0,93.0,29.2,7.0,7.0,0.06
3,33.520828,-86.824539,10th Ct N,Birmingham,Jefferson,AL,53.0,53.0,40.0,29.86,10.0,8.0,0.0
1,36.1687,-86.56888000000001,I-40 E,Mount Juliet,Davidson,TN,64.0,64.0,90.0,29.48,9.0,7.0,0.0
2,35.043258,-85.313035,Carter St,Chattanooga,Hamilton,TN,26.0,26.0,47.0,29.44,10.0,3.0,0.0
2,36.045173999999996,-86.659058,Bell Rd,Antioch,Davidson,TN,76.0,76.0,79.0,29.33,1.0,36.0,0.11
2,38.236,-85.78298000000001, S 17th St,Louisville,Jefferson,KY,57.0,57.0,36.0,29.42,10.0,18.0,0.0
2,32.328325,-90.246403,I-220 S,Jackson,Hinds,MS,57.0,57.0,30.0,29.81,10.0,10.0,0.0
2,33.593949,-86.659094,I-59 N,Birmingham,Jefferson,AL,44.0,44.0,76.0,29.44,10.0,0.0,0.0
3,37.097572,-86.054626,I-65 N,Park City,Barren,KY,42.0,39.0,64.0,29.57,10.0,6.0,0.0
2,33.236779999999996,-87.560253, McFarland Blvd,Northport,Tuscaloosa,AL,59.0,59.0,96.0,29.95,8.0,0.0,0.0
2,34.933338,-86.773987,Highway 53,Ardmore,Madison,AL,76.0,76.0,71.0,29.3,10.0,9.0,0.0
