Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,30.423596999999997,-91.144584,I-10 W,Baton Rouge,East Baton Rouge,LA,63.0,63.0,60.0,30.18,10.0,7.0,0.0
2,32.785066,-96.788436, Pacific Ave,Dallas,Dallas,TX,57.0,57.0,89.0,29.58,9.0,14.0,0.0
3,32.98554,-96.87810999999999,President George Bush Tpke E,Carrollton,Dallas,TX,68.0,68.0,88.0,29.02,6.0,17.0,0.0
3,30.053864,-95.432243,I-45 S,Spring,Harris,TX,69.0,69.0,90.0,30.11,7.0,8.0,0.0
3,29.999306,-90.183876,I-10 W,Metairie,Jefferson,LA,76.0,76.0,97.0,30.01,6.0,10.0,0.01
2,32.668176,-97.355982,I-20 W,Fort Worth,Tarrant,TX,37.0,26.0,84.0,29.6,10.0,21.0,0.0
2,29.685159999999996,-95.29630300000001,Park Place Blvd,Houston,Harris,TX,65.0,65.0,78.0,30.17,10.0,13.0,0.0
2,35.507740000000005,-97.494377,NE 36th St,Oklahoma City,Oklahoma,OK,38.0,31.0,100.0,28.51,8.0,10.0,0.0
2,30.418029999999998,-91.112373,I-12 E,Baton Rouge,East Baton Rouge,LA,53.0,53.0,93.0,29.97,10.0,6.0,0.0
2,29.724895,-95.476501,Westpark Tollway W,Houston,Harris,TX,73.0,73.0,38.0,30.34,10.0,13.0,0.0
2,32.930439,-96.758041,US-75 S,Dallas,Dallas,TX,48.0,43.0,100.0,29.42,2.0,14.0,0.0
2,32.822674,-96.785728,US-75 S,Dallas,Dallas,TX,82.0,82.0,51.0,29.5,10.0,8.0,0.0
2,30.457473999999998,-91.099174,Florline Blvd,Baton Rouge,East Baton Rouge,LA,70.0,70.0,76.0,30.02,10.0,7.0,0.0
2,30.303349,-97.714191,I-35 N,Austin,Travis,TX,64.0,64.0,60.0,29.59,10.0,5.0,0.0
3,32.843920000000004,-96.63466,LBJ Fwy N,Garland,Dallas,TX,64.0,64.0,94.0,29.23,10.0,6.0,0.0
2,30.295586,-92.023613,NE Evangeline Trwy,Lafayette,Lafayette,LA,57.0,57.0,72.0,30.26,10.0,10.0,0.0
2,32.436825,-93.75239599999999, E 75th St,Shreveport,Caddo,LA,48.0,44.0,74.0,29.95,10.0,9.0,0.0
3,29.78438,-95.500748,Katy Tollway,Houston,Harris,TX,74.0,74.0,76.0,29.78,8.0,14.0,0.0
3,32.92917,-96.82117,McEwen Rd,Dallas,Dallas,TX,86.0,86.0,33.0,29.44,10.0,8.0,0.0
2,29.926890000000004,-90.09084, Louisiana Ave,New Orleans,Orleans,LA,71.0,71.0,63.0,30.06,10.0,8.0,0.0
2,32.674675,-97.150214,I-20 W,Arlington,Tarrant,TX,64.0,64.0,78.0,29.55,10.0,8.0,0.0
