State,State_Name,19_AND_UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,TOTAL
AL,Alabama,105307,165240,170609,161729,153486,160259,159202,176291,172804,154558,133669,99983,74355,53993,53034,1994519
AK,Alaska,10770,24971,30767,30020,24937,23371,23318,26416,26395,23294,16561,10048,4203,2911,3017,280999
AZ,Arizona,80630,183501,212098,227610,217635,221187,212470,227927,220860,200558,153297,112286,74492,47629,35956,2428136
AR,Arkansas,40799,87055,90468,89899,84979,86465,85695,97616,94759,86528,77374,58868,41720,28160,22614,1072999
CA,California,414348,1121941,1197632,1174187,1070204,1103654,1117697,1182180,1101591,926379,726612,470745,299963,192425,151574,12251132
CO,Colorado,73973,148595,177833,179440,162898,161439,159978,178778,176912,155870,124032,69674,48368,35889,42915,1896594
CT,Connecticut,44173,96715,104345,97812,95409,104304,122069,133751,127673,104889,87437,62602,42872,32183,32145,1288379
DE,Delaware,18048,30155,32738,31363,28360,29765,31967,34496,33395,29674,26847,19714,13118,9023,7444,376107
DC,Dist. of Col. ,103,7204,30642,39804,29114,19879,16000,14238,13620,13248,11898,7798,4874,3081,2960,214463
FL,Florida,218447,506609,564773,555941,534331,581674,610508,683005,651716,593813,541807,414171,287820,192864,159267,7096746
GA,Georgia,134458,288511,304599,314181,308909,337895,331147,340027,309531,266969,217600,146089,95442,59514,41445,3496317
HI,Hawaii,10994,30810,35477,40866,37629,38635,39182,41854,42412,38913,31721,20432,11986,8288,5532,434731
ID,Idaho,30720,48759,47278,49232,46797,44626,44008,49395,50320,46633,38785,27581,18075,11372,8253,561834
IL,Illinois,203984,349632,366899,374813,356511,361448,369569,405954,396055,338788,272410,195636,129623,59094,75427,4255843
IN,Indiana,91583,190876,190821,188957,180859,191173,193777,217786,212760,184120,148721,107416,75097,50345,39937,2264228
IA,Iowa,66189,94728,93740,92105,84581,82737,86812,102848,103322,92513,74351,54575,41375,30054,24749,1124679
KS,Kansas,70829,85238,88057,86726,77648,76088,77088,92053,93447,82428,65135,46224,33562,25241,21689,1021453
KY,Kentucky ,38097,117620,124074,129298,126277,133639,136099,150803,147058,129217,106303,75599,51590,33241,24069,1522984
LA,Louisiana,68130,131702,152297,160588,143410,140538,143801,158602,154700,134121,107503,78311,56464,40957,45756,1716880
ME,Maine ,17905,35260,39213,37678,36044,39982,44691,52420,53494,48234,40453,28752,19111,12712,9276,515225
MD,Maryland,59900,152388,186133,193335,178846,189384,203549,217623,198995,166344,132575,90958,59184,40470,34774,2104458
MA,Massachusetts,81479,187272,216775,209119,190695,209278,228761,241432,224399,189978,153659,105260,71779,52748,45342,2407976
MI,Michigan,157577,293257,286400,274114,267447,288899,308427,345775,350714,308510,250792,180135,124542,87465,74279,3598333
MN,Minnesota,81611,113263,120750,132437,126100,127613,142532,169164,168001,145940,116494,83732,60371,43153,39477,1670638
MS,Mississippi,53235,86072,84405,85076,82755,85891,85543,96301,95263,84483,70971,51011,36619,23704,17355,1038684
MO,Missouri ,97691,176449,191533,190897,172157,174587,179430,209871,203925,176987,147091,109780,74561,50141,36695,2191795
MT,Montana,17861,28220,32273,31170,28186,27120,28189,35512,38651,35853,28117,20088,13180,8560,5187,378167
NE,Nebraska,35441,58981,63210,62251,54873,52137,52193,61854,60944,55264,43314,30932,23080,18341,17186,690001
NV,Nevada ,27862,67883,78362,81644,76347,80042,77837,81340,77739,70989,62745,44091,26813,15261,9290,878245
NH,New Hampshire,23478,42841,42823,39611,37482,43842,49991,56948,54172,44987,36903,25004,16539,11047,8812,534480
NJ,New Jersey,116627,257651,254340,249683,250758,269176,293834,316843,297158,243674,201968,143342,98447,72528,66591,3132620
NM,New Mexico,12932,57790,65593,67871,61383,61666,62262,71771,71020,64407,51150,35456,21271,12753,7354,724679
NY,New York ,145227,385429,466872,474009,450929,482227,523076,558965,523790,445370,366692,260298,180466,131326,117185,5511861
NC,North Carolina,106582,287061,321982,319937,310072,335731,330220,348055,328682,281249,240735,169559,112775,74029,54420,3621089
ND,North Dakota,13837,23335,25350,23101,18917,17841,18790,22796,23640,19727,14787,10691,8821,6715,5651,253999
OH,Ohio,172023,322158,317447,320462,307324,333234,350045,396255,401422,346703,280846,202737,146548,100414,83012,4080630
OK,Oklahoma,71032,112190,114559,114118,100121,101680,100323,118727,117800,104326,88544,66098,47971,32880,26579,1316948
OR,Oregon,48707,100477,117217,126224,118085,112650,111353,121990,130816,129625,108993,74929,48212,31456,27903,1408637
PA,Pennsylvania,137917,331929,359164,352464,330988,360933,395738,441091,443035,385414,315612,231498,170660,126834,107319,4490596
RI,Rhode Island,11577,30422,32465,31061,28695,30413,34967,38662,37851,32411,26136,18541,12060,8873,8389,382523
SC,South Carolina ,103831,149890,161828,158491,146117,154623,155120,169000,164641,154622,136542,96261,61040,38907,28635,1879548
SD,South Dakota,16746,24267,25695,25334,22846,21184,21829,27203,28265,26218,21039,15116,11079,8336,7425,302582
TN,Tennessee ,115644,187548,194283,194897,187703,206977,208261,225354,217865,193984,163097,118306,82459,55600,45046,2397024
TX,Texas,310482,691781,740849,743765,702702,729424,701480,751315,705613,597547,474343,328394,221091,142087,93523,7934396
UT,Utah,40764,69532,73553,75772,73199,57679,52046,54243,53910,47179,36363,28482,20006,14250,12140,709118
VT,Vermont,9571,19384,22862,23076,20136,20676,22969,26681,26691,24065,19489,13488,9101,6985,8343,273517
VA,Virginia,109372,230664,259763,262243,244917,261165,272218,293621,274800,232862,191409,132989,88722,58195,46343,2959283
WA,Washington,101071,207624,239698,253084,231712,228690,222715,240950,236808,212484,170911,112707,71200,45348,35389,2610391
WV,West Virginia,28050,32899.1561,39269,41785,44650,48515,49057,55740,60284,57786,48903,33647,23887,15475,9913,589860.1561
WI,Wisconsin,97141,170566,177944,180616,163889,169856,186161,209058,199166,170906,129274,89709,63509,44313,39848,2091956
WY,Wyoming,10557,16715,18496,18501,16277,15290,14884,18768,20297,18183,13940,9896,6731,4495,3476,206506
TTL,Total,4155312,8661060.156,9386253,9418397,8846326,9237181,9488878,10389348,10019181,8718824,7145950,5039639,3436834,2311665,1929940,108184788.2
