Postal Code,STATE,19_AND_UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,TOTAL
AL,Alabama,213408,333472,335939,314507,296128,313505,311934,343653,335640,298346,258886,192166,139665,99936,94357,3881542
AK,Alaska,20663,47603,58952,57610,47746,44765,44269,50211,50400,42987,29957,18060,8390,5328,4803,531744
AZ,Arizona,167430,374266,426819,458010,444155,457768,438694,460403,435944,390701,298905,219140,147145,94082,68339,4881801
AR,Arkansas,82743,175551,179350,177402,168341,172246,170938,192724,185386,168330,150242,113943,79995,52933,41749,2111873
CA,California,865897,2313250,2418597,2355175,2140053,2219140,2288067,2412706,2235846,1866698,1462214,946222,605348,388461,295672,24813346
CO,Colorado,150778,303774,365623,371202,339093,340269,333811,366787,361558,316359,249766,146124,98122,69127,70969,3883362
CT,Connecticut,89351,198200,212206,197042,189950,206610,240564,264312,252534,206887,169404,119775,80044,58821,56888,2542588
DE,Delaware,35491,60484,64142,61910,55026,58220,62172,67140,64338,56546,51308,37966,25575,17615,14416,732349
DC,Dist. of Col. ,449,13797,55584,74966,57852,41272,34100,30810,27917,25394,22120,14757,9289,5969,5620,419896
FL,Florida,445512,1021798,1111472,1083020,1040109,1144855,1210536,1344055,1263719,1138920,1050997,807948,562562,374235,298609,13898347
GA,Georgia,273519,565999,576821,584536,574481,639441,635059,651132,590500,504793,411988,278300,179016,109963,74886,6650434
HI,Hawaii,23107,65904,73509,83181,77200,79622,80451,86845,86982,80856,67184,43604,24920,16910,12364,902639
ID,Idaho,62895,98641,96010,99119,94512,90241,88604,98565,99498,92588,77895,55488,36449,22242,15750,1128497
IL,Illinois,411271,701173,727722,737943,701959,710722,728317,795270,774972,665129,531449,376563,250368,124561,136146,8373565
IN,Indiana,187101,389743,381764,375119,358742,379915,384708,427940,417023,358679,286148,202926,139146,90153,68992,4448099
IA,Iowa,134243,189474,187372,184803,169740,166236,174688,203436,205108,185040,146540,105027,77316,54441,44486,2227950
KS,Kansas,145142,173549,177580,173396,156082,151924,153810,181078,183173,162194,128134,88326,62810,45682,38391,2021271
KY,Kentucky ,77834,238907,247926,256564,251627,267442,270686,297565,287982,252652,207961,145505,97946,61309,43013,3004919
LA,Louisiana,135990,260383,294367,310403,279312,274595,280141,307357,300612,259500,207938,148032,104557,72922,76521,3312630
ME,Maine ,36010,71803,78962,75066,71531,79325,88399,103454,104826,94795,80585,55223,36706,24416,17817,1018918
MD,Maryland,122109,310070,378133,391581,359306,374034,397771,424141,386789,319402,254754,173346,112918,75860,62783,4142997
MA,Massachusetts,165129,384400,433256,416404,379802,414973,452674,478042,441943,371989,299830,203203,137383,100202,86356,4765586
MI,Michigan,327970,599924,575861,542201,522838,565536,604598,674542,679346,597342,484780,345128,233936,159295,133136,7046433
MN,Minnesota,164773,237138,250441,270200,257454,258970,286283,337720,334722,291870,230854,164272,116437,82457,73877,3357468
MS,Mississippi,106560,167168,159519,158759,155374,162426,163459,183634,182081,161942,137180,96860,68577,43036,31104,1977679
MO,Missouri ,199863,356654,383408,378170,341042,345535,353512,410642,395945,340999,281676,208155,140380,92569,66674,4295224
MT,Montana,36573,57857,66284,64350,58561,55956,57097,70662,76142,72310,58475,41289,26459,16728,9960,768703
NE,Nebraska,72425,119984,129456,127201,111518,106304,106211,123826,122292,109273,85883,60194,43760,33832,31534,1383693
NV,Nevada ,57159,138191,155882,164767,157608,166077,163497,167945,157912,142684,127566,90324,56050,31727,19054,1796443
NH,New Hampshire,47605,87630,87763,80561,75052,87734,99928,113428,108371,89886,73197,49739,32301,21819,16949,1071963
NJ,New Jersey,236688,519533,506089,491028,490523,527183,575620,623845,583894,479285,393618,276112,188509,136168,124539,6152634
NM,New Mexico,27027,116671,133351,139805,124977,123539,122770,140183,137309,125467,101314,70070,42063,25493,14818,1444857
